episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,policy_reward_min/policy_0,policy_reward_max/policy_0,policy_reward_mean/policy_0,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/policy_0/cur_kl_coeff,info/learner/policy_0/cur_lr,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/kl,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff
-7.400000000000004,-48.00000000000014,-33.84615384615386,58.89230769230769,65,4000,False,4000,65,1,cce30ba806ba4079bd2130649369ff9f,2020-02-12_09-43-37,1581500617,136.53372812271118,136.53372812271118,47551,nvidia-gtc,10.142.0.61,136.53372812271118,4000,1,8,2cb5bbbc,0,-11.99999999999999,-2.4,-10.837438423645311,4.874828379925221,4.245955903547031,1.2552203306645353,11392,4000,6823.569,5266.602,31366.446,91613.073,0.20000000298023224,9.999999747378752e-05,-0.004622575,-0.0061213416,23.958961,0.004620803,0.0073740147,1.5142639,0.0
-5.600000000000002,-48.00000000000014,-31.688,57.21,69,4000,False,8000,134,2,cce30ba806ba4079bd2130649369ff9f,2020-02-12_09-44-07,1581500647,29.882935285568237,166.41666340827942,47551,nvidia-gtc,10.142.0.61,166.41666340827942,8000,2,8,2cb5bbbc,0,-11.99999999999999,-2.1999999999999997,-10.288311688311678,4.785347060474528,4.400656876955175,1.1553940664350235,22272,8000,6469.046,2641.869,27535.118,45822.536,0.20000000298023224,9.999999747378752e-05,0.029611383,0.028774235,13.546724,0.000112473965,0.0041180183,1.4785174,0.0
-5.600000000000002,-48.00000000000014,-29.073999999999987,55.52,71,4000,False,12000,205,3,cce30ba806ba4079bd2130649369ff9f,2020-02-12_09-44-35,1581500675,28.0608971118927,194.47756052017212,47551,nvidia-gtc,10.142.0.61,194.47756052017212,12000,3,8,2cb5bbbc,0,-11.99999999999999,-2.1999999999999997,-9.288817891373794,4.73652705889743,4.432135135384064,1.0791665776260075,32256,12000,6325.292,1768.451,25675.507,30558.455,0.10000000149011612,9.999999747378752e-05,0.059117224,0.0581734,10.414604,-0.019487849,0.009334061,1.476405,0.0
-6.000000000000003,-48.00000000000014,-30.253999999999984,57.13,69,4000,False,16000,274,4,cce30ba806ba4079bd2130649369ff9f,2020-02-12_09-45-06,1581500706,30.500341415405273,224.9779019355774,47551,nvidia-gtc,10.142.0.61,224.9779019355774,16000,4,8,2cb5bbbc,0,-11.99999999999999,-2.1999999999999997,-9.604444444444434,4.737432354460264,4.4922846020415195,1.0613989023741355,43008,16000,6382.68,1330.86,25225.292,22928.275,0.10000000149011612,9.999999747378752e-05,0.0014017643,0.0003129996,7.3815207,-0.048517615,0.010813828,1.4394616,0.0
-5.600000000000002,-40.00000000000003,-27.919999999999963,55.87,73,4000,False,20000,347,5,cce30ba806ba4079bd2130649369ff9f,2020-02-12_09-45-34,1581500734,28.416327238082886,253.39422917366028,47551,nvidia-gtc,10.142.0.61,253.39422917366028,20000,5,8,2cb5bbbc,0,-11.99999999999999,-2.1999999999999997,-9.796491228070165,4.716964586248279,4.591197531031804,1.056062232894079,53120,20000,6375.301,1066.954,24582.121,18349.529,0.10000000149011612,9.999999747378752e-05,0.031146895,0.030159853,8.23335,-0.11514921,0.009788079,1.4635887,0.0
-5.200000000000002,-48.00000000000014,-28.39599999999999,54.17,73,4000,False,24000,420,6,cce30ba806ba4079bd2130649369ff9f,2020-02-12_09-46-04,1581500764,29.57716178894043,282.9713909626007,47551,nvidia-gtc,10.142.0.61,282.9713909626007,24000,6,8,2cb5bbbc,0,-11.99999999999999,-2.1999999999999997,-9.625762711864398,4.699570350420576,4.63519736662105,1.0441188595099486,63744,24000,6314.574,891.095,24402.66,15296.82,0.10000000149011612,9.999999747378752e-05,-0.028313737,-0.029574405,8.331809,-0.046935387,0.012523368,1.3886998,0.0
-4.800000000000002,-48.00000000000014,-27.922000000000008,51.65,77,4000,False,28000,497,7,cce30ba806ba4079bd2130649369ff9f,2020-02-12_09-46-34,1581500794,30.235837697982788,313.2072286605835,47551,nvidia-gtc,10.142.0.61,313.2072286605835,28000,7,8,2cb5bbbc,0,-11.99999999999999,-2.1999999999999997,-9.00709677419354,4.696753961421426,4.65736480998036,1.0350445714290977,74496,28000,6315.323,766.83,24322.981,13116.53,0.10000000149011612,9.999999747378752e-05,-0.011548873,-0.01231779,7.4087234,-0.05253523,0.00761505,1.4141257,0.0
-4.800000000000002,-48.00000000000014,-26.379999999999985,52.36,75,4000,False,32000,572,8,cce30ba806ba4079bd2130649369ff9f,2020-02-12_09-47-02,1581500822,27.60444927215576,340.81167793273926,47551,nvidia-gtc,10.142.0.61,340.81167793273926,32000,8,8,2cb5bbbc,0,-11.99999999999999,-2.1999999999999997,-9.003412969283268,4.663141224473646,4.651212536566103,1.027126665063056,84352,32000,6257.514,672.454,23993.983,11481.08,0.10000000149011612,9.999999747378752e-05,0.039216798,0.038447004,7.9555674,-0.004600867,0.0076184226,1.4112422,0.0
-4.800000000000002,-48.00000000000014,-25.629999999999985,51.04,79,4000,False,36000,651,9,cce30ba806ba4079bd2130649369ff9f,2020-02-12_09-47-31,1581500851,28.815754890441895,369.62743282318115,47551,nvidia-gtc,10.142.0.61,369.62743282318115,36000,9,8,2cb5bbbc,0,-11.99999999999999,-2.1999999999999997,-9.15357142857142,4.654735655499915,4.688648772836931,1.0247858415333426,94464,36000,6268.507,598.934,23816.619,10209.165,0.10000000149011612,9.999999747378752e-05,0.0057694083,0.0041791555,7.5929914,0.004821367,0.015826609,1.3581785,0.0
-4.800000000000002,-48.00000000000014,-26.025999999999982,50.08,80,4000,False,40000,731,10,cce30ba806ba4079bd2130649369ff9f,2020-02-12_09-47-59,1581500879,28.604198694229126,398.2316315174103,47551,nvidia-gtc,10.142.0.61,398.2316315174103,40000,10,8,2cb5bbbc,0,-11.99999999999999,-2.1999999999999997,-8.79256756756756,4.643859361459863,4.7310910122816185,1.0238700817530288,104704,40000,6260.278,540.143,23670.158,9192.26,0.10000000149011612,9.999999747378752e-05,0.042253457,0.041385155,7.1927176,0.0072074374,0.008611059,1.3354568,0.0
